Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147115,366639895,,-7.31132,10.531,-57.2974,12.8202,-2.20267,2.17766,1,11.2836,-1.03234,-1.88066,-11.0778,2.14537,-2.34403,-2.07281,-1,8.94841
147115,366704169,6.61188,-4.15213,-0.579855,-5.11278,4.19242,-1.02842,-3.00284,-1,17.1492,-11.7135,5.04474,11.4647,12.7536,0.808077,2.73492,1,15.893
147115,367112316,25.5419,-11.4809,2.04168,22.7246,11.661,1.42048,2.9656,1,15.8203,-1.4728,2.25895,-15.5888,2.69667,-2.45508,2.14857,1,38.3877
147115,366952149,65.3959,7.51214,11.8871,63.8662,14.0619,2.21838,1.00721,1,25.1273,4.08786,2.59641,24.6563,4.84272,2.33021,0.565865,-1,3.72862
147115,366523212,61.4504,2.95284,-14.6227,-59.6121,14.9179,-2.09375,-1.37154,-1,13.8871,-0.277757,-2.4256,-13.6708,2.44145,-2.4237,-1.68481,-1,2.74718
147115,366663412,0,-5.45672,-2.09068,-2.60078,5.84352,-0.431551,-2.77571,-1,21.3865,15.1698,-8.8703,-12.1893,17.5728,-0.64745,-0.52912,-1,18.4023
147115,366639101,84.5058,8.82436,10.5789,83.3753,13.7761,2.50032,0.875576,1,12.6784,-1.13446,-3.20939,-12.2128,3.404,-1.98956,-1.91057,-1,65.3239
147115,367133576,77.0057,10.0029,9.17545,-75.8,13.5737,-2.42103,0.742282,1,9.11623,-1.72295,-1.48674,-8.82761,2.27574,-2.06494,-2.42965,1,11.2912
147115,368639137,9.68787,1.11192,2.05064,-9.40284,2.3327,-2.10218,1.07394,1,63.4597,-1.85844,12.7946,-62.1287,12.9289,-2.27355,1.71504,1,3.58678
147115,367825395,,11.939,-18.3462,17.2696,21.8888,0.724032,-0.993887,1,12.9218,-5.0263,11.6026,2.66263,12.6445,0.20905,1.9796,-1,34.2685
147115,368386363,3.55057,1.82842,1.44129,-2.68069,2.32818,-0.984491,0.667547,1,71.8333,-12.8477,-11.5171,-69.7303,17.2542,-2.10469,-2.41075,-1,14.7115
147115,367872476,2.91574,2.29728,-1.26296,1.27631,2.62156,0.469419,-0.50266,-1,19.1262,-6.05107,16.2333,-8.10417,17.3244,-0.452218,1.9276,-1,14.1784
147115,368161197,15.9401,2.72218,14.3108,-6.47127,14.5674,-0.430782,1.38282,1,2.6192,2.494,0.127619,0.789874,2.49726,0.311246,0.0511258,1,8.74601
147115,368574093,4.63776,0.420952,-1.58979,4.33638,1.64458,1.69687,-1.31195,1,8.14236,1.34733,-0.97776,-7.97037,1.66473,-2.26995,-0.627767,1,11.8493
147115,368542782,8.37299,-3.25849,3.00007,7.10555,4.42924,1.25123,2.39746,-1,60.1585,-10.6454,-9.38045,58.4613,14.1886,2.12348,-2.41928,1,12.7876
147115,367546224,52.4648,12.7198,2.84896,-50.8198,13.0349,-2.06986,0.220342,1,5.07997,2.07938,-0.0749331,-4.63429,2.08073,-1.54088,-0.0360207,1,3.08878
147115,367999432,21.7122,-14.8556,10.1768,-12.1311,18.0071,-0.630977,2.54097,1,15.5213,-2.9167,0.61632,15.2323,2.98111,2.33371,2.93335,1,30.7306
147115,368546272,9.34051,-2.01571,0.520275,-9.10556,2.08177,-2.18163,2.889,1,19.4326,-11.8094,-9.27687,-12.333,15.0174,-0.749175,-2.47572,-1,10.0233
147115,368678801,3.53688,0.406444,-2.29239,-2.66257,2.32814,-0.979389,-1.39532,-1,106.707,13.2902,-30.2301,-101.468,33.0226,-1.84119,-1.1566,-1,8.06728
147115,368822673,16.328,6.598,-1.6191,14.8475,6.79375,1.52363,-0.240638,-1,10.7777,1.21509,-3.23555,-10.2085,3.45619,-1.8037,-1.21155,-1,25.0717
147115,369036793,28.2165,22.3933,-4.73948,16.4998,22.8894,0.669664,-0.208569,1,97.1467,-18.0195,9.98944,-94.9368,20.6032,-2.23248,2.6354,-1,97.5545
147115,369225601,2.29842,-1.72775,-0.311871,1.48336,1.75567,0.767344,-2.96301,-1,43.0917,-8.48081,2.07453,-42.198,8.73085,-2.27919,2.90169,-1,17.1833
147115,369782322,64.3116,-0.026877,13.3311,-62.9148,13.3311,-2.25587,1.57281,1,19.7217,-1.30586,3.89128,-19.2899,4.10455,-2.25176,1.89457,-1,2.37002
147115,369347180,52.0028,-16.4664,4.64576,49.1077,17.1092,1.7766,2.8666,-1,3.47042,-1.65843,-1.42875,-2.69296,2.189,-1.03518,-2.43045,1,24.168
147115,369345005,10.2668,5.8968,0.96148,8.34934,5.97467,1.1365,0.161629,1,8.97432,-0.854865,7.90608,-4.15952,7.95216,-0.501749,1.67851,1,15.7675
147115,369752757,39.7472,16.2911,-12.2039,34.1395,20.3553,1.28919,-0.642934,-1,21.4539,-4.81004,3.35133,-20.6374,5.86241,-1.97128,2.53306,1,57.9059
147115,368934550,39.6056,-31.3706,-24.1694,0.568363,39.6015,0.0143516,-2.48513,1,70.1602,49.2964,-7.87303,-49.2985,49.9211,-0.872527,-0.158371,-1,91.2461
147115,369024558,14.5899,4.77489,1.38654,-13.7165,4.97213,-1.73924,0.28261,1,20.4478,-0.580285,6.7233,19.3021,6.74829,1.77332,1.65689,1,33.3628
147115,369319342,53.9398,-13.0516,26.6081,-45.0685,29.6367,-1.20619,2.02683,1,11.1908,1.44228,-2.25771,-10.8654,2.67907,-2.10813,-1.00232,-1,19.6388
147115,369525518,8.94598,7.09775,-0.550162,5.41755,7.11904,0.70192,-0.0773575,1,79.2226,-13.1282,5.26938,77.9494,14.1462,2.40789,2.7599,1,27.659
147115,369721190,22.3401,4.75581,17.5366,-12.9973,18.17,-0.66517,1.30597,1,35.1142,0.648815,-8.15422,34.1481,8.18,2.13621,-1.4914,1,52.3106
147115,369167791,13.0372,1.01421,-12.9913,-0.407648,13.0308,-0.0312783,-1.49289,1,3.6892,-0.545099,-3.26789,-1.62295,3.31304,-0.47213,-1.73608,1,3.32684
147115,369337087,3.74446,-0.301915,-2.39291,2.86423,2.41188,1.00798,-1.6963,1,69.6545,9.18482,-8.68358,68.498,12.6398,2.3915,-0.757354,-1,9.65592
147115,369449951,33.4986,9.75679,14.4464,-28.6053,17.4326,-1.27047,0.976787,-1,56.7482,-12.6667,-18.8168,52.0177,22.683,1.56758,-2.16328,1,86.9987
147115,369909985,15.5468,11.3296,2.54632,-10.3373,11.6122,-0.801576,0.221077,-1,36.8469,0.881584,11.0382,35.1436,11.0733,1.87199,1.4911,1,42.3804
147115,370199601,2.03697,1.074,1.73072,-0.019332,2.03687,-0.00949085,1.0154,-1,90.4454,-16.2391,-12.4868,-88.095,20.4848,-2.16513,-2.48608,1,21.0515
147115,370033539,25.1596,11.8264,-17.1406,-14.1188,20.8246,-0.634539,-0.966838,1,11.2188,-0.321214,2.45988,10.9411,2.48076,2.18971,1.70064,-1,31.0708
147115,370409867,65.8306,20.9791,4.38751,62.2439,21.433,1.78768,0.206166,1,10.0134,-3.02354,0.803669,-9.51214,3.12853,-1.83116,2.8818,-1,51.2087
